"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_38";"v_40";"v_41";"v_42";"v_51";"v_52";"v_53";"v_54";"v_17";"v_18";"v_19";"v_20";"v_21";"v_22";"v_23";"v_1";"v_2";"v_3";"v_4";"v_9";"v_10";"v_11";"v_12";"v_13";"v_15";"v_16";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts7365785";"rts7365786";"rts7365788";"rts7365789";"rts7365790";"rts7365792";"rts7371199";"rnd_pg_7365787"
"2";"0";"0";"31";"7365780";"-77";"177";"4";"2";"3";"2";"4";"5";"5";"4";"4";"3";"3";"4";"2";"4";"4";"31";"0";"1";"0";"5";"1";"0";"0";"0";"17";"3";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"fd32f71f54c16b054208ec30d40357a3";"1";"0";"1750440598";"2025-06-20 17:29:58";"2025-06-20 17:32:55";"0000-00-00 00:00:00";"72";"123";"0";"46";"0";"177";"89";"7365789"
"4";"0";"0";"31";"7365780";"-77";"398";"3";"4";"5";"3";"5";"4";"1";"4";"1";"4";"5";"4";"3";"4";"2";"21";"1";"0";"0";"3";"1";"0";"0";"0";"3";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.1 Mobile/20G81 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"1";"1";"0";"-77";"-77";"66b2804ddc274d33681f40d084baf7a7";"1";"0";"1750440882";"2025-06-20 17:34:42";"2025-06-20 17:41:20";"0000-00-00 00:00:00";"162";"320";"0";"124";"0";"398";"219";"7365789"
"5";"0";"0";"31";"7365780";"-77";"358";"3";"3";"4";"4";"5";"4";"4";"5";"1";"5";"5";"4";"3";"2";"2";"26";"0";"1";"0";"3";"1";"0";"0";"0";"9";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"c4a3763b707b79ccceed15edfc750263";"1";"0";"1750440913";"2025-06-20 17:35:13";"2025-06-20 17:41:11";"0000-00-00 00:00:00";"98";"234";"36";"0";"0";"358";"181";"7365788"
"6";"0";"0";"31";"7365780";"-77";"129";"4";"4";"4";"2";"5";"4";"5";"4";"5";"5";"5";"5";"4";"5";"4";"28";"0";"1";"0";"4";"1";"0";"0";"0";"19";"5";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36 (Ecosia android@129.0.0.0)";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"e5377acfc03aeda9996ad1cdc88d803c";"1";"0";"1750441014";"2025-06-20 17:36:54";"2025-06-20 17:39:03";"0000-00-00 00:00:00";"49";"86";"0";"21";"0";"129";"63";"7365789"
"7";"0";"0";"31";"7365780";"-77";"121";"4";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"59";"1";"0";"0";"4";"0";"0";"1";"0";"4";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"c60d1cf97586203ad8bd3dd676b2b889";"1";"0";"1750441158";"2025-06-20 17:39:18";"2025-06-20 17:41:19";"0000-00-00 00:00:00";"46";"93";"0";"26";"0";"121";"63";"7365789"
"8";"0";"0";"31";"7365780";"-77";"286";"5";"2";"2";"3";"3";"4";"3";"4";"1";"4";"3";"2";"3";"1";"2";"23";"1";"0";"0";"2";"1";"0";"0";"0";"5";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/22A3354 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"11cbda8f0a4c5fdff1fd9c97868963dc";"1";"0";"1750441269";"2025-06-20 17:41:09";"2025-06-20 17:45:55";"0000-00-00 00:00:00";"131";"253";"0";"23";"0";"286";"199";"7365789"
"9";"0";"0";"31";"7365780";"-77";"126";"5";"4";"3";"4";"4";"3";"5";"3";"4";"3";"4";"5";"4";"4";"5";"16";"1";"0";"0";"3";"1";"1";"0";"0";"0";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"7a67963c106001aa4990bb0f9e11ad89";"1";"0";"1750441626";"2025-06-20 17:47:06";"2025-06-20 17:49:12";"0000-00-00 00:00:00";"37";"64";"23";"0";"0";"126";"46";"7365788"
"10";"0";"0";"31";"7365780";"-77";"146";"1";"3";"5";"3";"3";"5";"5";"5";"4";"3";"5";"5";"5";"5";"5";"20";"1";"0";"0";"5";"1";"0";"0";"0";"20";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.60(0x18003c2e) NetType/WIFI Language/de";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"f50740afb63685aeed0257a77d729550";"1";"0";"1750441721";"2025-06-20 17:48:41";"2025-06-20 17:51:07";"0000-00-00 00:00:00";"84";"124";"0";"0";"42";"146";"104";"7365790"
"11";"0";"0";"31";"7365780";"-77";"99";"3";"2";"4";"3";"4";"3";"3";"4";"2";"4";"2";"2";"3";"4";"3";"18";"0";"1";"0";"2";"0";"1";"0";"0";"2";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.60(0x18003c2e) NetType/4G Language/zh_CN";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"0";"0";"-77";"-77";"3130a7cd39ecc5430c4411d4e8bab774";"1";"0";"1750441724";"2025-06-20 17:48:44";"2025-06-20 17:50:23";"0000-00-00 00:00:00";"39";"57";"0";"21";"0";"99";"47";"7365789"
"12";"0";"0";"31";"7365780";"-77";"265";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"50";"1";"0";"0";"4";"0";"0";"0";"1";"22";"5";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36 (Ecosia android@129.0.0.0)";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"b9a4a1dfc45dd07f08893900a88c24f9";"1";"0";"1750441831";"2025-06-20 17:50:31";"2025-06-20 17:54:56";"0000-00-00 00:00:00";"94";"204";"24";"0";"0";"265";"153";"7365788"
